注：晨光始昏影终以及月出月没时刻均为北京时间；月出或月没时刻中如果小时的数据为55，表明当天没有月出或月没。
青海冷湖：纬度=38:33:14.69N 经度= 93:48:43.18E
          天文晨光始  航海晨光始  民用晨光始  民用昏影终  航海昏影终  天文昏影终   月出   月没
20170419     05:28       06:03       06:36       20:53       21:26       22:01    02:30  12:48
20170420     05:26       06:01       06:34       20:54       21:27       22:02    03:13  13:44
20170421     05:24       06:00       06:33       20:55       21:28       22:04    03:53  14:43
20170422     05:23       05:58       06:31       20:56       21:29       22:05    04:31  15:45
20170423     05:21       05:56       06:30       20:57       21:31       22:06    05:08  16:50
20170424     05:19       05:55       06:29       20:58       21:32       22:08    05:43  17:57
20170425     05:18       05:53       06:27       20:59       21:33       22:09    06:20  19:07
20170426     05:16       05:52       06:26       21:00       21:34       22:10    06:58  20:18
20170427     05:14       05:50       06:25       21:01       21:35       22:12    07:39  21:30
20170428     05:13       05:49       06:23       21:02       21:36       22:13    08:24  22:41
20170429     05:11       05:48       06:22       21:03       21:38       22:14    09:14  23:49
20170430     05:09       05:46       06:21       21:04       21:39       22:16    10:10  55:49
20170501     05:08       05:45       06:19       21:05       21:40       22:17    11:10  00:52
20170502     05:06       05:43       06:18       21:06       21:41       22:18    12:12  01:47
20170503     05:05       05:42       06:17       21:07       21:42       22:20    13:16  02:35
20170504     05:03       05:41       06:16       21:08       21:43       22:21    14:18  03:17
20170505     05:01       05:39       06:14       21:09       21:45       22:23    15:19  03:54
20170506     05:00       05:38       06:13       21:10       21:46       22:24    16:19  04:28
20170507     04:58       05:37       06:12       21:11       21:47       22:25    17:18  05:00
20170508     04:57       05:35       06:11       21:12       21:48       22:27    18:15  05:30
20170509     04:55       05:34       06:10       21:13       21:49       22:28    19:12  06:01
20170510     04:54       05:33       06:09       21:14       21:50       22:30    20:08  06:32
20170511     04:52       05:32       06:08       21:15       21:52       22:31    21:04  07:05
20170512     04:51       05:30       06:06       21:16       21:53       22:32    21:58  07:41
20170513     04:50       05:29       06:05       21:17       21:54       22:34    22:51  08:20
20170514     04:48       05:28       06:04       21:18       21:55       22:35    23:41  09:03
20170515     04:47       05:27       06:03       21:19       21:56       22:36    55:41  09:50
20170516     04:45       05:26       06:03       21:20       21:57       22:38    00:28  10:41
20170517     04:44       05:25       06:02       21:21       21:58       22:39    01:11  11:35
20170518     04:43       05:24       06:01       21:22       21:59       22:40    01:52  12:32
20170519     04:42       05:23       06:00       21:23       22:00       22:42    02:30  13:31
20170520     04:40       05:22       05:59       21:24       22:02       22:43    03:05  14:33
20170521     04:39       05:21       05:58       21:25       22:03       22:44    03:40  15:37
20170522     04:38       05:20       05:57       21:26       22:04       22:46    04:15  16:43
20170523     04:37       05:19       05:57       21:27       22:05       22:47    04:51  17:53
20170524     04:36       05:18       05:56       21:28       22:06       22:48    05:29  19:04
20170525     04:35       05:17       05:55       21:29       22:07       22:49    06:12  20:17
20170526     04:34       05:16       05:55       21:29       22:08       22:51    07:00  21:28
20170527     04:33       05:16       05:54       21:30       22:09       22:52    07:54  22:36
20170528     04:32       05:15       05:53       21:31       22:10       22:53    08:53  23:37
20170529     04:31       05:14       05:53       21:32       22:11       22:54    09:57  55:37
20170530     04:30       05:14       05:52       21:33       22:12       22:55    11:03  00:30
20170531     04:29       05:13       05:52       21:34       22:12       22:56    12:08  01:16
20170601     04:29       05:12       05:51       21:34       22:13       22:57    13:11  01:56
20170602     04:28       05:12       05:51       21:35       22:14       22:58    14:13  02:31
20170603     04:27       05:11       05:50       21:36       22:15       22:59    15:12  03:04
20170604     04:27       05:11       05:50       21:36       22:16       23:00    16:10  03:34
20170605     04:26       05:10       05:50       21:37       22:17       23:01    17:07  04:04
20170606     04:25       05:10       05:49       21:38       22:17       23:02    18:03  04:35
20170607     04:25       05:10       05:49       21:38       22:18       23:03    18:58  05:07
20170608     04:24       05:09       05:49       21:39       22:19       23:04    19:53  05:42
20170609     04:24       05:09       05:49       21:40       22:19       23:04    20:47  06:19
20170610     04:24       05:09       05:48       21:40       22:20       23:05    21:38  07:01
20170611     04:23       05:09       05:48       21:41       22:20       23:06    22:26  07:46
20170612     04:23       05:08       05:48       21:41       22:21       23:06    23:11  08:36
20170613     04:23       05:08       05:48       21:42       22:22       23:07    23:53  09:29
20170614     04:23       05:08       05:48       21:42       22:22       23:08    55:53  10:25
20170615     04:22       05:08       05:48       21:42       22:22       23:08    00:31  11:23
20170616     04:22       05:08       05:48       21:43       22:23       23:09    01:07  12:23
20170617     04:22       05:08       05:48       21:43       22:23       23:09    01:41  13:24
20170618     04:22       05:08       05:48       21:43       22:24       23:09    02:14  14:28
20170619     04:22       05:08       05:48       21:44       22:24       23:10    02:48  15:33
20170620     04:23       05:09       05:49       21:44       22:24       23:10    03:24  16:41
20170621     04:23       05:09       05:49       21:44       22:24       23:10    04:03  17:52
20170622     04:23       05:09       05:49       21:44       22:25       23:10    04:46  19:03
20170623     04:23       05:09       05:49       21:45       22:25       23:11    05:36  20:13
20170624     04:24       05:09       05:50       21:45       22:25       23:11    06:33  21:18
20170625     04:24       05:10       05:50       21:45       22:25       23:11    07:36  22:17
20170626     04:24       05:10       05:50       21:45       22:25       23:11    08:42  23:08
20170627     04:25       05:11       05:51       21:45       22:25       23:10    09:50  23:52
20170628     04:25       05:11       05:51       21:45       22:25       23:10    10:57  55:52
20170629     04:26       05:12       05:51       21:45       22:25       23:10    12:01  00:30
20170630     04:27       05:12       05:52       21:45       22:25       23:10    13:02  01:05
20170701     04:27       05:13       05:52       21:45       22:24       23:10    14:02  01:37
20170702     04:28       05:13       05:53       21:44       22:24       23:09    15:00  02:07
20170703     04:29       05:14       05:53       21:44       22:24       23:09    15:57  02:38
20170704     04:29       05:14       05:54       21:44       22:24       23:09    16:52  03:10
20170705     04:30       05:15       05:55       21:44       22:23       23:08    17:47  03:43
20170706     04:31       05:16       05:55       21:44       22:23       23:07    18:41  04:20
20170707     04:32       05:16       05:56       21:43       22:22       23:07    19:34  05:00
20170708     04:33       05:17       05:56       21:43       22:22       23:06    20:23  05:44
20170709     04:34       05:18       05:57       21:42       22:22       23:06    21:10  06:32
20170710     04:35       05:19       05:58       21:42       22:21       23:05    21:53  07:24
20170711     04:36       05:20       05:59       21:42       22:20       23:04    22:33  08:19
20170712     04:37       05:20       05:59       21:41       22:20       23:03    23:09  09:17
20170713     04:38       05:21       06:00       21:41       22:19       23:03    23:44  10:16
20170714     04:39       05:22       06:01       21:40       22:18       23:02    55:44  11:17
20170715     04:40       05:23       06:02       21:39       22:18       23:01    00:17  12:19
20170716     04:41       05:24       06:02       21:39       22:17       23:00    00:50  13:22
20170717     04:42       05:25       06:03       21:38       22:16       22:59    01:24  14:28
20170718     04:43       05:26       06:04       21:37       22:15       22:58    02:00  15:35
20170719     04:45       05:27       06:05       21:37       22:15       22:57    02:40  16:43
20170720     04:46       05:28       06:06       21:36       22:14       22:56    03:25  17:52
20170721     04:47       05:29       06:07       21:35       22:13       22:54    04:17  18:58
20170722     04:48       05:30       06:08       21:34       22:12       22:53    05:16  20:00
20170723     04:50       05:31       06:08       21:34       22:11       22:52    06:20  20:55
20170724     04:51       05:32       06:09       21:33       22:10       22:51    07:28  21:43
20170725     04:52       05:33       06:10       21:32       22:09       22:50    08:36  22:25
20170726     04:53       05:34       06:11       21:31       22:08       22:48    09:43  23:02
20170727     04:55       05:35       06:12       21:30       22:07       22:47    10:47  23:36
20170728     04:56       05:36       06:13       21:29       22:06       22:46    11:49  55:36
20170729     04:57       05:37       06:14       21:28       22:04       22:44    12:49  00:08
20170730     04:59       05:38       06:15       21:27       22:03       22:43    13:47  00:39
20170731     05:00       05:39       06:16       21:26       22:02       22:41    14:44  01:11
20170801     05:01       05:41       06:17       21:25       22:01       22:40    15:40  01:44
20170802     05:03       05:42       06:18       21:24       22:00       22:38    16:34  02:19
20170803     05:04       05:43       06:19       21:23       21:58       22:37    17:27  02:57
20170804     05:05       05:44       06:20       21:21       21:57       22:35    18:18  03:40
20170805     05:07       05:45       06:21       21:20       21:56       22:34    19:06  04:27
20170806     05:08       05:46       06:22       21:19       21:54       22:32    19:51  05:18
20170807     05:09       05:47       06:23       21:18       21:53       22:31    20:32  06:12
20170808     05:11       05:48       06:24       21:17       21:52       22:29    21:10  07:10
20170809     05:12       05:49       06:25       21:15       21:50       22:28    21:46  08:09
20170810     05:13       05:51       06:25       21:14       21:49       22:26    22:20  09:10
20170811     05:14       05:52       06:26       21:13       21:47       22:24    22:53  10:13
20170812     05:16       05:53       06:27       21:11       21:46       22:23    23:26  11:16
20170813     05:17       05:54       06:28       21:10       21:44       22:21    55:26  12:20
20170814     05:18       05:55       06:29       21:09       21:43       22:19    00:01  13:26
20170815     05:20       05:56       06:30       21:07       21:41       22:18    00:39  14:32
20170816     05:21       05:57       06:31       21:06       21:40       22:16    01:21  15:39
20170817     05:22       05:58       06:32       21:05       21:38       22:14    02:09  16:44
20170818     05:24       05:59       06:33       21:03       21:37       22:13    03:03  17:46
20170819     05:25       06:01       06:34       21:02       21:35       22:11    04:03  18:42
20170820     05:26       06:02       06:35       21:00       21:34       22:09    05:08  19:33
20170821     05:27       06:03       06:36       20:59       21:32       22:07    06:15  20:17
20170822     05:29       06:04       06:37       20:57       21:31       22:06    07:22  20:57
20170823     05:30       06:05       06:38       20:56       21:29       22:04    08:28  21:32
20170824     05:31       06:06       06:39       20:54       21:27       22:02    09:32  22:05
20170825     05:32       06:07       06:40       20:53       21:26       22:00    10:34  22:37
20170826     05:34       06:08       06:41       20:51       21:24       21:59    11:34  23:09
20170827     05:35       06:09       06:42       20:50       21:23       21:57    12:33  23:42
20170828     05:36       06:10       06:43       20:48       21:21       21:55    13:30  55:42
20170829     05:37       06:11       06:44       20:47       21:19       21:53    14:25  00:17
20170830     05:38       06:12       06:45       20:45       21:18       21:51    15:19  00:54
20170831     05:39       06:13       06:46       20:44       21:16       21:50    16:10  01:35
20170901     05:41       06:14       06:47       20:42       21:14       21:48    16:59  02:20
20170902     05:42       06:15       06:48       20:41       21:13       21:46    17:45  03:09
20170903     05:43       06:16       06:48       20:39       21:11       21:44    18:28  04:02
20170904     05:44       06:17       06:49       20:37       21:09       21:43    19:08  04:59
20170905     05:45       06:18       06:50       20:36       21:08       21:41    19:45  05:58
20170906     05:46       06:19       06:51       20:34       21:06       21:39    20:20  06:59
20170907     05:47       06:20       06:52       20:33       21:04       21:37    20:53  08:02
20170908     05:49       06:21       06:53       20:31       21:03       21:35    21:27  09:07
20170909     05:50       06:22       06:54       20:29       21:01       21:34    22:02  10:12
20170910     05:51       06:23       06:55       20:28       20:59       21:32    22:40  11:18
20170911     05:52       06:24       06:56       20:26       20:58       21:30    23:21  12:25
20170912     05:53       06:25       06:57       20:25       20:56       21:28    55:21  13:32
20170913     05:54       06:26       06:58       20:23       20:54       21:26    00:06  14:37
20170914     05:55       06:27       06:59       20:21       20:53       21:25    00:57  15:39
20170915     05:56       06:28       06:59       20:20       20:51       21:23    01:54  16:36
20170916     05:57       06:29       07:00       20:18       20:49       21:21    02:56  17:27
20170917     05:58       06:30       07:01       20:17       20:48       21:19    04:00  18:12
20170918     05:59       06:31       07:02       20:15       20:46       21:18    05:06  18:52
20170919     06:00       06:32       07:03       20:13       20:44       21:16    06:12  19:29
20170920     06:01       06:33       07:04       20:12       20:43       21:14    07:16  20:03
20170921     06:02       06:34       07:05       20:10       20:41       21:13    08:19  20:35
20170922     06:03       06:35       07:06       20:09       20:39       21:11    09:20  21:07
20170923     06:04       06:36       07:07       20:07       20:38       21:09    10:20  21:39
20170924     06:05       06:37       07:08       20:05       20:36       21:07    11:18  22:14
20170925     06:06       06:38       07:08       20:04       20:35       21:06    12:15  22:50
20170926     06:07       06:39       07:09       20:02       20:33       21:04    13:10  23:29
20170927     06:08       06:39       07:10       20:01       20:31       21:02    14:02  55:29
20170928     06:09       06:40       07:11       19:59       20:30       21:01    14:52  00:13
20170929     06:10       06:41       07:12       19:57       20:28       20:59    15:39  01:00
20170930     06:11       06:42       07:13       19:56       20:27       20:58    16:23  01:51
20171001     06:12       06:43       07:14       19:54       20:25       20:56    17:03  02:45
20171002     06:13       06:44       07:15       19:53       20:23       20:54    17:41  03:43
20171003     06:14       06:45       07:16       19:51       20:22       20:53    18:16  04:44
20171004     06:15       06:46       07:17       19:50       20:20       20:51    18:51  05:46
20171005     06:16       06:47       07:18       19:48       20:19       20:50    19:25  06:51
20171006     06:17       06:48       07:18       19:47       20:17       20:48    20:00  07:57
20171007     06:18       06:49       07:19       19:45       20:16       20:47    20:37  09:05
20171008     06:19       06:50       07:20       19:44       20:14       20:45    21:18  10:14
20171009     06:20       06:51       07:21       19:42       20:13       20:44    22:03  11:23
20171010     06:21       06:51       07:22       19:41       20:11       20:42    22:53  12:30
20171011     06:22       06:52       07:23       19:39       20:10       20:41    23:49  13:34
20171012     06:23       06:53       07:24       19:38       20:09       20:39    55:49  14:33
20171013     06:24       06:54       07:25       19:36       20:07       20:38    00:49  15:25
20171014     06:24       06:55       07:26       19:35       20:06       20:36    01:52  16:11
20171015     06:25       06:56       07:27       19:34       20:04       20:35    02:57  16:52
20171016     06:26       06:57       07:28       19:32       20:03       20:34    04:01  17:29
20171017     06:27       06:58       07:29       19:31       20:02       20:32    05:05  18:02
20171018     06:28       06:59       07:30       19:29       20:00       20:31    06:07  18:35
20171019     06:29       07:00       07:31       19:28       19:59       20:30    07:08  19:06
20171020     06:30       07:01       07:32       19:27       19:58       20:28    08:08  19:38
20171021     06:31       07:02       07:33       19:26       19:56       20:27    09:07  20:11
20171022     06:32       07:03       07:34       19:24       19:55       20:26    10:04  20:46
20171023     06:33       07:04       07:35       19:23       19:54       20:25    11:00  21:25
20171024     06:34       07:05       07:36       19:22       19:53       20:23    11:54  22:06
20171025     06:35       07:06       07:37       19:21       19:52       20:22    12:46  22:52
20171026     06:36       07:07       07:38       19:19       19:50       20:21    13:34  23:41
20171027     06:37       07:08       07:39       19:18       19:49       20:20    14:18  55:41
20171028     06:38       07:08       07:40       19:17       19:48       20:19    14:59  00:33
20171029     06:39       07:09       07:41       19:16       19:47       20:18    15:37  01:29
20171030     06:40       07:10       07:42       19:15       19:46       20:17    16:13  02:27
20171031     06:40       07:11       07:43       19:14       19:45       20:16    16:47  03:28
20171101     06:41       07:12       07:44       19:13       19:44       20:15    17:20  04:31
20171102     06:42       07:13       07:45       19:11       19:43       20:14    17:55  05:36
20171103     06:43       07:14       07:46       19:10       19:42       20:13    18:31  06:43
20171104     06:44       07:15       07:47       19:09       19:41       20:12    19:10  07:53
20171105     06:45       07:16       07:48       19:08       19:40       20:11    19:54  09:04
20171106     06:46       07:17       07:49       19:08       19:39       20:10    20:44  10:15
20171107     06:47       07:18       07:50       19:07       19:38       20:09    21:39  11:23
20171108     06:48       07:19       07:51       19:06       19:37       20:08    22:40  12:26
20171109     06:49       07:20       07:52       19:05       19:37       20:08    23:44  13:23
20171110     06:50       07:21       07:53       19:04       19:36       20:07    55:44  14:12
20171111     06:51       07:22       07:54       19:03       19:35       20:06    00:49  14:54
20171112     06:52       07:23       07:55       19:02       19:34       20:06    01:54  15:32
20171113     06:53       07:24       07:56       19:02       19:34       20:05    02:58  16:06
20171114     06:54       07:25       07:57       19:01       19:33       20:04    04:00  16:38
20171115     06:55       07:26       07:58       19:00       19:32       20:04    05:00  17:08
20171116     06:56       07:27       07:59       19:00       19:32       20:03    06:00  17:39
20171117     06:57       07:28       08:00       18:59       19:31       20:02    06:58  18:11
20171118     06:57       07:29       08:01       18:58       19:30       20:02    07:56  18:45
20171119     06:58       07:30       08:02       18:58       19:30       20:01    08:53  19:22
20171120     06:59       07:31       08:03       18:57       19:29       20:01    09:48  20:02
20171121     07:00       07:32       08:04       18:57       19:29       20:01    10:40  20:46
20171122     07:01       07:33       08:05       18:56       19:29       20:00    11:30  21:34
20171123     07:02       07:34       08:06       18:56       19:28       20:00    12:15  22:25
20171124     07:03       07:35       08:07       18:55       19:28       20:00    12:57  23:19
20171125     07:04       07:36       08:08       18:55       19:28       19:59    13:36  55:19
20171126     07:05       07:37       08:09       18:55       19:27       19:59    14:11  00:15
20171127     07:06       07:37       08:10       18:54       19:27       19:59    14:45  01:13
20171128     07:07       07:38       08:11       18:54       19:27       19:59    15:18  02:13
20171129     07:07       07:39       08:12       18:54       19:27       19:58    15:50  03:15
20171130     07:08       07:40       08:13       18:54       19:26       19:58    16:24  04:20
20171201     07:09       07:41       08:14       18:53       19:26       19:58    17:01  05:27
20171202     07:10       07:42       08:15       18:53       19:26       19:58    17:42  06:37
20171203     07:11       07:43       08:16       18:53       19:26       19:58    18:29  07:49
20171204     07:12       07:44       08:17       18:53       19:26       19:58    19:22  09:01
20171205     07:12       07:44       08:17       18:53       19:26       19:58    20:23  10:09
20171206     07:13       07:45       08:18       18:53       19:26       19:58    21:28  11:12
20171207     07:14       07:46       08:19       18:53       19:26       19:58    22:36  12:06
20171208     07:15       07:47       08:20       18:53       19:26       19:58    23:43  12:53
20171209     07:15       07:48       08:21       18:53       19:26       19:58    55:43  13:33
20171210     07:16       07:48       08:22       18:53       19:26       19:59    00:49  14:09
20171211     07:17       07:49       08:22       18:53       19:27       19:59    01:53  14:42
20171212     07:18       07:50       08:23       18:54       19:27       19:59    02:54  15:13
20171213     07:18       07:51       08:24       18:54       19:27       19:59    03:54  15:43
20171214     07:19       07:51       08:25       18:54       19:27       20:00    04:52  16:14
20171215     07:20       07:52       08:25       18:54       19:28       20:00    05:50  16:47
20171216     07:20       07:53       08:26       18:55       19:28       20:00    06:47  17:22
20171217     07:21       07:53       08:27       18:55       19:28       20:01    07:42  18:01
20171218     07:21       07:54       08:27       18:55       19:29       20:01    08:35  18:43
20171219     07:22       07:54       08:28       18:56       19:29       20:02    09:26  19:30
20171220     07:23       07:55       08:28       18:56       19:30       20:02    10:14  20:20
20171221     07:23       07:55       08:29       18:57       19:30       20:02    10:57  21:13
20171222     07:24       07:56       08:29       18:57       19:31       20:03    11:37  22:08
20171223     07:24       07:56       08:30       18:58       19:31       20:04    12:13  23:05
20171224     07:25       07:57       08:30       18:58       19:32       20:04    12:47  55:05
20171225     07:25       07:57       08:31       18:59       19:32       20:05    13:18  00:03
20171226     07:25       07:58       08:31       19:00       19:33       20:05    13:50  01:03
20171227     07:26       07:58       08:31       19:00       19:34       20:06    14:22  02:04
20171228     07:26       07:58       08:32       19:01       19:34       20:07    14:56  03:07
20171229     07:26       07:59       08:32       19:02       19:35       20:07    15:33  04:14
20171230     07:27       07:59       08:32       19:02       19:36       20:08    16:15  05:23
20171231     07:27       07:59       08:32       19:03       19:36       20:09    17:04  06:33
20180101     07:27       07:59       08:33       19:04       19:37       20:09    18:00  07:44
20180102     07:27       08:00       08:33       19:05       19:38       20:10    19:04  08:50
20180103     07:28       08:00       08:33       19:05       19:39       20:11    20:12  09:50
20180104     07:28       08:00       08:33       19:06       19:39       20:12    21:23  10:43
20180105     07:28       08:00       08:33       19:07       19:40       20:12    22:32  11:28
20180106     07:28       08:00       08:33       19:08       19:41       20:13    23:39  12:08
20180107     07:28       08:00       08:33       19:09       19:42       20:14    55:39  12:43
20180108     07:28       08:00       08:33       19:10       19:43       20:15    00:44  13:15
20180109     07:28       08:00       08:33       19:11       19:44       20:16    01:46  13:46
20180110     07:28       08:00       08:33       19:12       19:44       20:16    02:45  14:17
20180111     07:28       08:00       08:33       19:12       19:45       20:17    03:44  14:49
20180112     07:28       08:00       08:33       19:13       19:46       20:18    04:41  15:24
20180113     07:28       08:00       08:33       19:14       19:47       20:19    05:36  16:01
20180114     07:28       08:00       08:32       19:15       19:48       20:20    06:30  16:42
20180115     07:28       07:59       08:32       19:16       19:49       20:21    07:22  17:26
20180116     07:27       07:59       08:32       19:17       19:50       20:22    08:11  18:15
